Date,Open,High,Low,Close,Adj Close,Volume
2015-04-27,36.380001,36.799999,35.459999,35.650002,35.650002,1288700
2015-04-28,35.529999,37.840000,35.529999,37.730000,37.730000,3170900
2015-04-29,37.410000,38.009998,36.759998,37.119999,37.119999,2122800
2015-04-30,37.099998,37.490002,35.009998,35.400002,35.400002,2535700
2015-05-01,35.419998,36.820000,35.299999,36.259998,36.259998,1496300
2015-05-04,36.580002,37.060001,36.180000,36.439999,36.439999,1311500
2015-05-05,36.230000,36.980000,35.650002,35.919998,35.919998,2107000
2015-05-06,35.950001,36.279999,34.360001,34.639999,34.639999,3059000
2015-05-07,35.230000,35.680000,32.880001,34.279999,34.279999,4531000
2015-05-08,34.709999,37.490002,34.570000,37.099998,37.099998,4317700
2015-05-11,37.250000,40.080002,37.220001,39.090000,39.090000,5988500
2015-05-12,38.619999,39.000000,37.930000,38.790001,38.790001,2133500
2015-05-13,39.020000,39.599998,38.849998,38.990002,38.990002,1738700
2015-05-14,39.160000,39.490002,38.490002,38.730000,38.730000,1953000
2015-05-15,38.680000,39.330002,38.070000,38.849998,38.849998,1508400
2015-05-18,39.119999,40.009998,36.840000,37.060001,37.060001,6692800
2015-05-19,37.450001,37.779999,34.650002,34.959999,34.959999,6378700
2015-05-20,34.990002,35.220001,33.130001,33.310001,33.310001,6389000
2015-05-21,34.049999,35.169998,33.509998,34.029999,34.029999,4711900
2015-05-22,33.880001,34.549999,33.299999,33.709999,33.709999,2750600
2015-05-26,33.349998,33.750000,32.689999,33.310001,33.310001,2617100
2015-05-27,33.369999,33.669998,32.610001,33.259998,33.259998,2174200
2015-05-28,33.869999,34.480000,33.299999,33.689999,33.689999,2392800
2015-05-29,33.509998,33.900002,32.549999,32.660000,32.660000,2363600
2015-06-01,33.000000,33.110001,31.950001,32.349998,32.349998,2390600
2015-06-02,32.049999,32.570000,30.600000,32.169998,32.169998,3316600
2015-06-03,32.299999,32.450001,31.760000,32.060001,32.060001,1833700
2015-06-04,32.009998,32.330002,31.120001,31.520000,31.520000,2381100
2015-06-05,31.459999,33.360001,31.270000,33.160000,33.160000,2945600
2015-06-08,33.599998,33.599998,31.930000,32.200001,32.200001,2635700
2015-06-09,31.959999,32.070000,30.719999,31.230000,31.230000,2770800
2015-06-10,31.420000,32.799999,31.410000,32.540001,32.540001,2315700
