Date,Open,High,Low,Close,Adj Close,Volume
2015-04-27,63.860001,64.250000,62.709999,62.919998,62.919998,1332500
2015-04-28,62.869999,63.709999,62.099998,63.570000,63.570000,1585300
2015-04-29,63.130001,63.470001,61.689999,61.939999,61.939999,1979700
2015-04-30,61.730000,62.360001,59.360001,59.669998,59.669998,3440700
2015-05-01,57.500000,59.970001,56.599998,57.340000,57.340000,6218700
2015-05-04,57.130001,57.820000,56.320000,56.779999,56.779999,2830000
2015-05-05,56.830002,57.779999,56.500000,56.810001,56.810001,2777200
2015-05-06,57.029999,57.220001,55.150002,55.660000,55.660000,2207900
2015-05-07,55.290001,56.570000,54.570000,56.320000,56.320000,2771100
2015-05-08,56.910000,56.970001,56.099998,56.369999,56.369999,1670800
2015-05-11,56.410000,56.930000,56.299999,56.380001,56.380001,1300100
2015-05-12,56.189999,56.470001,55.369999,56.049999,56.049999,1259900
2015-05-13,56.139999,57.150002,56.009998,56.770000,56.770000,1040400
2015-05-14,57.049999,57.090000,56.230000,56.560001,56.560001,1131600
2015-05-15,56.349998,56.970001,56.150002,56.720001,56.720001,839600
2015-05-18,56.820000,56.830002,56.029999,56.180000,56.180000,1119400
2015-05-19,56.180000,56.540001,55.000000,55.279999,55.279999,1326600
2015-05-20,55.410000,55.730000,54.700001,54.919998,54.919998,1297000
2015-05-21,55.200001,56.660000,55.150002,55.889999,55.889999,1481500
2015-05-22,55.750000,56.029999,54.900002,55.070000,55.070000,1188900
2015-05-26,53.029999,53.029999,50.709999,51.060001,51.060001,5167600
2015-05-27,51.049999,51.599998,50.560001,51.279999,51.279999,2291600
2015-05-28,51.240002,51.520000,50.450001,50.750000,50.750000,1650800
2015-05-29,50.520000,50.700001,49.700001,49.709999,49.709999,1840200
2015-06-01,49.759998,50.529999,49.259998,49.900002,49.900002,1991100
2015-06-02,49.799999,51.599998,49.400002,50.950001,50.950001,1997200
2015-06-03,50.970001,51.740002,50.610001,50.830002,50.830002,1569800
2015-06-04,50.599998,50.790001,49.500000,49.669998,49.669998,2102700
